chrom	pos	pos_cum	length	DP4	pool_0	pool_1	pool_2	pool_3	pool_4	pool_5	pool_6	pool_7	pool_8	pool_9
Scaffold1	289	289	5510682	392	31	30	11	49	39	38	53	41	42	58
Scaffold1	48096	48096	5510682	390	32	28	22	45	49	45	53	37	27	52
Scaffold1	107181	107181	5510682	501	47	38	22	57	72	68	60	43	45	49
Scaffold1	161020	161020	5510682	444	46	35	16	55	52	40	67	49	44	40
Scaffold1	227941	227941	5510682	426	42	34	24	60	55	43	52	24	44	48
Scaffold1	272313	272313	5510682	453	39	41	21	58	60	41	53	49	47	44
Scaffold1	327564	327564	5510682	477	48	31	34	45	52	53	64	54	52	44
Scaffold1	376243	376243	5510682	532	37	47	28	65	66	71	60	36	57	65
Scaffold1	427580	427580	5510682	141	10	15	6	18	18	13	9	3	35	14
Scaffold1	464325	464325	5510682	494	44	43	27	57	59	51	70	46	39	58
Scaffold1	495092	495092	5510682	258	18	11	24	52	22	16	31	28	20	36
Scaffold1	529213	529213	5510682	614	39	40	46	106	79	64	74	66	53	47
Scaffold1	565635	565635	5510682	448	48	34	35	49	47	54	55	29	51	46
Scaffold1	602107	602107	5510682	491	49	28	38	60	56	62	61	34	41	62
Scaffold1	640139	640139	5510682	490	37	35	22	69	64	49	61	51	45	57
Scaffold1	685748	685748	5510682	519	52	48	19	68	40	65	75	48	57	47
Scaffold1	733485	733485	5510682	320	25	26	28	32	42	27	23	13	44	60
Scaffold1	775946	775946	5510682	357	34	23	17	45	45	37	55	24	27	50
Scaffold1	807802	807802	5510682	479	57	38	27	37	60	52	52	43	51	62
Scaffold1	841963	841963	5510682	455	28	44	23	54	68	46	53	40	42	57
Scaffold1	887042	887042	5510682	400	45	26	17	54	55	49	51	29	35	39
Scaffold1	925977	925977	5510682	453	28	52	33	60	42	47	53	45	37	56
Scaffold1	972497	972497	5510682	373	24	18	20	61	37	42	43	36	45	47
Scaffold1	1014577	1014577	5510682	580	53	52	48	67	75	69	59	47	45	65
Scaffold1	1054429	1054429	5510682	301	28	14	27	44	25	26	33	16	44	44
Scaffold1	1086542	1086542	5510682	418	45	36	15	62	43	33	49	28	51	56
Scaffold1	1113127	1113127	5510682	540	36	40	42	65	70	56	59	52	58	62
Scaffold1	1141434	1141434	5510682	124	7	9	2	25	30	9	12	2	14	14
Scaffold1	1178455	1178455	5510682	651	61	32	37	76	88	80	69	55	69	84
Scaffold1	1223258	1223258	5510682	297	19	14	16	49	21	28	40	26	33	51
Scaffold1	1273456	1273456	5510682	439	33	33	16	49	59	55	58	38	39	59
Scaffold1	1334341	1334341	5510682	706	80	54	52	85	59	80	95	61	67	73
Scaffold1	1375980	1375980	5510682	525	53	38	35	47	71	59	58	44	72	48
Scaffold1	1421923	1421923	5510682	484	44	41	26	59	55	54	60	43	53	49
Scaffold1	1472917	1472917	5510682	29	1	1	1	4	3	4	4	6	1	4
Scaffold1	1520498	1520498	5510682	490	33	52	24	58	70	63	58	54	32	46
Scaffold1	1572738	1572738	5510682	451	31	43	20	59	48	51	60	46	46	47
Scaffold1	1637745	1637745	5510682	443	34	37	20	50	70	59	46	39	46	42
Scaffold1	1682002	1682002	5510682	507	50	36	32	61	56	54	49	67	51	51
Scaffold1	1725897	1725897	5510682	545	49	54	28	59	87	43	61	42	54	68
Scaffold1	1755803	1755803	5510682	471	38	37	26	53	52	66	50	47	44	58
Scaffold1	1795769	1795769	5510682	198	25	14	18	33	22	11	16	12	20	27
Scaffold1	1850537	1850537	5510682	494	42	41	42	74	59	54	52	30	45	55
Scaffold1	1888136	1888136	5510682	540	36	47	34	56	65	53	69	53	60	67
Scaffold1	1924270	1924270	5510682	485	12	39	25	72	77	50	63	62	44	41
Scaffold1	1963735	1963735	5510682	557	40	36	35	66	67	75	65	37	63	73
Scaffold1	1994520	1994520	5510682	443	27	28	14	62	65	47	66	47	44	43
Scaffold1	2033769	2033769	5510682	352	31	27	31	38	60	37	35	25	37	31
Scaffold1	2074320	2074320	5510682	355	39	25	13	42	33	51	50	35	23	44
Scaffold1	2108808	2108808	5510682	506	41	37	23	61	42	66	67	49	58	62
Scaffold1	2142402	2142402	5510682	87	4	6	10	17	4	15	10	6	14	1
Scaffold1	2183812	2183812	5510682	475	38	32	24	48	60	64	59	49	50	51
Scaffold1	2222127	2222127	5510682	485	33	45	29	60	52	50	72	44	46	54
Scaffold1	2258379	2258379	5510682	573	46	45	36	84	83	57	69	46	40	67
Scaffold1	2298773	2298773	5510682	492	38	33	30	57	85	61	61	38	44	45
Scaffold1	2350224	2350224	5510682	385	41	34	22	53	41	31	32	28	51	52
Scaffold1	2380005	2380005	5510682	592	50	59	32	58	71	65	78	64	41	74
Scaffold1	2419931	2419931	5510682	137	5	9	21	38	9	7	2	5	35	6
Scaffold1	2462094	2462094	5510682	457	34	31	37	65	51	52	47	40	47	53
Scaffold1	2496783	2496783	5510682	370	29	24	25	55	42	48	38	25	45	39
Scaffold1	2535802	2535802	5510682	470	42	30	38	55	59	59	45	39	48	55
Scaffold1	2576066	2576066	5510682	533	42	48	42	56	60	67	64	39	49	66
Scaffold1	2611381	2611381	5510682	444	41	26	21	60	53	53	57	35	48	50
Scaffold1	2658870	2658870	5510682	472	34	31	22	66	56	54	55	48	48	58
Scaffold1	2716878	2716878	5510682	442	41	33	25	49	50	58	56	37	34	59
Scaffold1	2758419	2758419	5510682	613	60	44	43	73	63	73	77	51	49	80
Scaffold1	2824141	2824141	5510682	448	40	26	15	46	56	59	58	49	43	56
Scaffold1	2867223	2867223	5510682	208	18	21	7	23	34	23	27	15	20	20
Scaffold1	2898636	2898636	5510682	108	4	6	6	25	26	7	16	5	5	8
Scaffold1	2933207	2933207	5510682	430	29	34	33	43	46	48	66	49	37	45
Scaffold1	2987473	2987473	5510682	308	26	26	21	28	41	22	38	32	36	38
Scaffold1	3030647	3030647	5510682	467	36	31	19	71	68	53	51	40	41	57
Scaffold1	3069732	3069732	5510682	637	68	37	24	82	77	64	77	40	80	88
Scaffold1	3100933	3100933	5510682	431	32	48	28	45	47	52	58	41	49	31
Scaffold1	3131337	3131337	5510682	313	18	27	31	51	25	30	41	15	42	33
Scaffold1	3159299	3159299	5510682	485	36	42	32	61	52	49	71	43	54	45
Scaffold1	3216622	3216622	5510682	465	25	36	23	67	63	50	62	39	45	55
Scaffold1	3252473	3252473	5510682	461	37	27	39	51	56	57	51	45	40	58
Scaffold1	3280389	3280389	5510682	487	39	38	31	65	53	54	58	31	59	59
Scaffold1	3326117	3326117	5510682	475	34	23	28	51	72	63	51	50	53	50
Scaffold1	3356993	3356993	5510682	500	42	36	23	72	64	53	67	47	50	46
Scaffold1	3391662	3391662	5510682	490	49	37	40	54	64	55	47	35	55	54
Scaffold1	3421925	3421925	5510682	395	34	33	19	52	64	40	48	35	29	41
Scaffold1	3464929	3464929	5510682	345	19	43	15	29	46	56	49	52	25	11
Scaffold1	3503936	3503936	5510682	486	36	28	22	45	83	66	87	45	29	45
Scaffold1	3550718	3550718	5510682	316	30	31	20	26	47	34	36	23	31	38
Scaffold1	3583946	3583946	5510682	467	34	26	33	48	70	56	64	39	44	53
Scaffold1	3633978	3633978	5510682	504	46	32	31	56	64	57	63	47	50	58
Scaffold1	3667556	3667556	5510682	343	24	29	24	43	46	39	46	25	39	28
Scaffold1	3700682	3700682	5510682	364	28	25	21	45	50	56	35	27	45	32
Scaffold1	3738236	3738236	5510682	477	36	50	17	66	57	54	55	35	52	55
Scaffold1	3779554	3779554	5510682	441	27	50	26	55	51	53	49	38	51	41
Scaffold1	3812296	3812296	5510682	579	48	34	30	75	62	69	78	53	59	71
Scaffold1	3872195	3872195	5510682	438	37	27	37	49	51	45	62	51	28	51
