Chromosome	Start	End	Feature	p5_p2	p1_p10	p5_p3	p7_p2	p7_p3	p4_p9	p4_p8	p6_p9	p6_p8	p1_p3	p1_p2	p4_p3	p6_p10	p4_p2	p1_p9	p1_p8	p6_p3	p7_p10	p6_p2	p5_p8	p5_p9	p5_p10	p4_p10	p7_p8	p7_p9
Scaffold1	249	250	snp	na	0.21391866	0.01737994	na	0.13028576	0.15945979	0.01744357	0.05036705	0.05514376	0.14159056	na	0.08689151	0.03988803	na	0.22917372	0.02784635	0.03456518	0.07083141	na	0.10345995	0.02600759	0.02553948	0.16269819	0.31819443	0.03676038
Scaffold1	749	750	snp	0.19537337	0.19988496	0.00989913	0.03524145	0.11554602	0.22693611	0.00848198	0.10419371	0.05425467	0.11790878	0.56664446	0.06050132	0.03463926	0.41806111	0.32913893	0.01976429	0.01675143	0.07868335	0.23226848	0.06953330	0.06713170	0.01587551	0.12086990	0.28528322	0.03435334
Scaffold1	1249	1250	snp	0.05144013	0.15555056	0.01433263	0.01659584	0.05283031	0.14729086	0.01570533	0.02663567	0.06125952	0.11157264	0.22431020	0.09797182	0.03096073	0.19899408	0.16249994	0.00667511	0.02842119	0.04396460	0.06740976	0.06443597	0.03626246	0.04458335	0.14256943	0.21338911	0.03634804
Scaffold1	1749	1750	snp	0.18039032	0.16499883	0.01554794	0.07504909	0.03863181	0.13430901	0.01188392	0.04945612	0.03884719	0.12458796	0.62828386	0.08302725	0.04981582	0.43176978	0.16592037	0.05103045	0.04261722	0.04737551	0.24377950	0.02402069	0.05804123	0.06085444	0.12641318	0.11080934	0.04913739
Scaffold1	2249	2250	snp	0.26471555	0.35641716	0.02911450	0.03253218	0.05064599	0.18607153	0.00602746	0.09441308	0.03676759	0.24091907	0.66688507	0.11647235	0.11200889	0.40314702	0.29925806	0.04846702	0.04917115	0.01546927	0.28150169	0.06600058	0.06656930	0.08629045	0.22157185	0.29490991	0.02025523
Scaffold1	2749	2750	snp	0.21474346	0.01749154	0.03426271	0.04874185	0.04042283	0.09614001	0.02435555	0.04410465	0.02618886	0.27836129	0.00000000	0.14286129	0.11399611	0.34692879	0.18766539	0.08632003	0.07579293	0.02447234	0.33517946	0.04719892	0.02519414	0.09567041	0.16808087	0.28231472	0.06783273
Scaffold1	3249	3250	snp	na	0.27323146	0.01667295	na	0.05722532	0.32677287	0.02091281	0.07028802	0.08421689	0.21595337	na	0.20847887	0.06136664	na	0.30877746	0.04415816	0.05209966	0.14984102	na	0.07119801	0.14589732	0.13726433	0.29347151	0.30777647	0.14991100
Scaffold1	3749	3750	snp	0.13591011	0.34583953	0.02334449	0.03553932	0.05234661	0.26224951	0.01126144	0.09197664	0.06997892	0.21640990	0.55650219	0.17486834	0.11845192	0.45148948	0.31467425	0.01497504	0.03864897	0.14066974	0.20506181	0.14237413	0.07548875	0.09019765	0.29004351	0.33282430	0.08834329
Scaffold1	4249	4250	snp	na	0.31233569	0.04568032	na	0.06923428	0.25336723	0.00604561	0.05108825	0.09690042	0.28174364	na	0.18726389	0.04060729	na	0.35060697	0.02326225	0.02366979	0.08689592	na	0.08806813	0.08246454	0.06148523	0.21716657	0.41904379	0.05579052
Scaffold1	4749	4750	snp	0.21715851	0.28315179	0.02912826	0.05326902	0.09128302	0.20812847	0.02396030	0.05779715	0.05150179	0.21544657	0.45652523	0.11159208	0.04371577	0.28320253	0.34824938	0.04970566	0.01823605	0.16197108	0.26286145	0.06827763	0.08844780	0.05271529	0.20176873	0.36373273	0.06342922
