chrom	pos	pos_cum	length	DP4	pool_0
Scaffold1	1086	1086	5510682	32	32
Scaffold1	1171	1171	5510682	36	36
Scaffold1	1173	1173	5510682	55	55
Scaffold1	1197	1197	5510682	41	41
Scaffold1	1303	1303	5510682	51	51
Scaffold1	1321	1321	5510682	9	9
Scaffold1	1533	1533	5510682	36	36
Scaffold1	1789	1789	5510682	50	50
Scaffold1	2027	2027	5510682	17	17
Scaffold1	2061	2061	5510682	18	18
Scaffold1	2064	2064	5510682	18	18
Scaffold1	2073	2073	5510682	21	21
Scaffold1	2107	2107	5510682	21	21
Scaffold1	2131	2131	5510682	19	19
Scaffold1	2136	2136	5510682	20	20
Scaffold1	2210	2210	5510682	9	9
Scaffold1	2213	2213	5510682	8	8
Scaffold1	2224	2224	5510682	24	24
Scaffold1	2275	2275	5510682	11	11
Scaffold1	2278	2278	5510682	7	7
Scaffold1	2642	2642	5510682	32	32
Scaffold1	2922	2922	5510682	31	31
Scaffold1	3187	3187	5510682	42	42
Scaffold1	3340	3340	5510682	38	38
Scaffold1	3348	3348	5510682	36	36
Scaffold1	3536	3536	5510682	26	26
Scaffold1	3550	3550	5510682	24	24
Scaffold1	3649	3649	5510682	31	31
Scaffold1	3690	3690	5510682	32	32
Scaffold1	3731	3731	5510682	36	36
Scaffold1	3983	3983	5510682	32	32
Scaffold1	4005	4005	5510682	32	32
Scaffold1	4019	4019	5510682	30	30
Scaffold1	4059	4059	5510682	24	24
Scaffold1	4078	4078	5510682	38	38
Scaffold1	4116	4116	5510682	30	30
Scaffold1	4269	4269	5510682	52	52
Scaffold1	4313	4313	5510682	44	44
Scaffold1	4331	4331	5510682	46	46
Scaffold1	4345	4345	5510682	44	44
Scaffold1	4375	4375	5510682	41	41
Scaffold1	4390	4390	5510682	42	42
Scaffold1	4395	4395	5510682	38	38
Scaffold1	4409	4409	5510682	49	49
Scaffold1	4432	4432	5510682	35	35
Scaffold1	4625	4625	5510682	25	25
Scaffold1	4627	4627	5510682	25	25
Scaffold1	4653	4653	5510682	32	32
Scaffold1	4691	4691	5510682	30	30
Scaffold1	4714	4714	5510682	27	27
Scaffold1	4842	4842	5510682	35	35
Scaffold1	4879	4879	5510682	25	25
Scaffold1	4886	4886	5510682	22	22
Scaffold1	4927	4927	5510682	13	13
Scaffold1	4931	4931	5510682	13	13
Scaffold1	4934	4934	5510682	12	12
Scaffold1	4936	4936	5510682	14	14
Scaffold1	4995	4995	5510682	8	8
Scaffold1	5147	5147	5510682	2	2
Scaffold1	5238	5238	5510682	1	1
Scaffold1	5242	5242	5510682	2	2
Scaffold1	5922	5922	5510682	39	39
Scaffold1	6305	6305	5510682	35	35
Scaffold1	6394	6394	5510682	37	37
Scaffold1	6401	6401	5510682	36	36
Scaffold1	6468	6468	5510682	36	36
Scaffold1	6484	6484	5510682	36	36
Scaffold1	6489	6489	5510682	36	36
Scaffold1	6492	6492	5510682	34	34
Scaffold1	6511	6511	5510682	33	33
Scaffold1	6772	6772	5510682	5	5
Scaffold1	6973	6973	5510682	36	36
Scaffold1	7014	7014	5510682	34	34
Scaffold1	7425	7425	5510682	28	28
Scaffold1	7506	7506	5510682	30	30
Scaffold1	7519	7519	5510682	27	27
Scaffold1	7588	7588	5510682	33	33
Scaffold1	7740	7740	5510682	41	41
Scaffold1	7766	7766	5510682	38	38
Scaffold1	7833	7833	5510682	39	39
Scaffold1	7845	7845	5510682	38	38
Scaffold1	8135	8135	5510682	52	52
Scaffold1	8361	8361	5510682	44	44
Scaffold1	8391	8391	5510682	46	46
Scaffold1	8672	8672	5510682	39	39
Scaffold1	8688	8688	5510682	40	40
Scaffold1	8706	8706	5510682	40	40
Scaffold1	8919	8919	5510682	31	31
Scaffold1	8963	8963	5510682	32	32
Scaffold1	9020	9020	5510682	29	29
Scaffold1	9156	9156	5510682	30	30
Scaffold1	9427	9427	5510682	41	41
Scaffold1	9525	9525	5510682	46	46
Scaffold1	9580	9580	5510682	43	43
Scaffold1	9777	9777	5510682	29	29
Scaffold1	9842	9842	5510682	29	29
Scaffold1	10015	10015	5510682	32	32
Scaffold1	10038	10038	5510682	31	31
Scaffold1	10077	10077	5510682	31	31
Scaffold1	10088	10088	5510682	28	28
Scaffold1	10137	10137	5510682	49	49
Scaffold1	10199	10199	5510682	38	38
Scaffold1	10366	10366	5510682	36	36
Scaffold1	10519	10519	5510682	33	33
Scaffold1	10586	10586	5510682	38	38
Scaffold1	10750	10750	5510682	42	42
Scaffold1	10957	10957	5510682	54	54
Scaffold1	11020	11020	5510682	48	48
Scaffold1	11023	11023	5510682	49	49
Scaffold1	11180	11180	5510682	39	39
Scaffold1	11377	11377	5510682	36	36
Scaffold1	11501	11501	5510682	38	38
Scaffold1	12268	12268	5510682	42	42
Scaffold1	12312	12312	5510682	42	42
Scaffold1	12333	12333	5510682	43	43
Scaffold1	12445	12445	5510682	31	31
Scaffold1	12995	12995	5510682	33	33
Scaffold1	12998	12998	5510682	33	33
Scaffold1	13119	13119	5510682	32	32
Scaffold1	13151	13151	5510682	33	33
Scaffold1	13405	13405	5510682	30	30
Scaffold1	13410	13410	5510682	34	34
Scaffold1	13485	13485	5510682	39	39
Scaffold1	13500	13500	5510682	37	37
Scaffold1	13597	13597	5510682	33	33
Scaffold1	13694	13694	5510682	41	41
Scaffold1	15495	15495	5510682	52	52
Scaffold1	15913	15913	5510682	28	28
Scaffold1	15969	15969	5510682	28	28
Scaffold1	15973	15973	5510682	28	28
Scaffold1	15978	15978	5510682	29	29
Scaffold1	15992	15992	5510682	37	37
Scaffold1	16023	16023	5510682	29	29
Scaffold1	16850	16850	5510682	36	36
Scaffold1	16853	16853	5510682	36	36
